ano,carreira,obitos
2010,Bombeiro Militar,3
2010,Guarda civil municipal,6
2010,Polícia Civil e perícia,16
2010,Polícia Federal e PRF,4
2010,Polícia Militar,44
2010,Polícia penal/penitenciária,5
2011,Bombeiro Militar,4
2011,Guarda civil municipal,5
2011,Polícia Civil e perícia,10
2011,Polícia Federal e PRF,10
2011,Polícia Militar,55
2011,Polícia penal/penitenciária,5
2012,Bombeiro Militar,9
2012,Guarda civil municipal,7
2012,Polícia Civil e perícia,13
2012,Polícia Federal e PRF,9
2012,Polícia Militar,55
2012,Polícia penal/penitenciária,8
2013,Bombeiro Militar,4
2013,Guarda civil municipal,6
2013,Polícia Civil e perícia,16
2013,Polícia Federal e PRF,8
2013,Polícia Militar,60
2013,Polícia penal/penitenciária,8
2014,Bombeiro Militar,6
2014,Guarda civil municipal,7
2014,Polícia Civil e perícia,15
2014,Polícia Federal e PRF,5
2014,Polícia Militar,56
2014,Polícia penal/penitenciária,7
2015,Bombeiro Militar,6
2015,Guarda civil municipal,8
2015,Polícia Civil e perícia,10
2015,Polícia Federal e PRF,9
2015,Polícia Militar,57
2015,Polícia penal/penitenciária,7
2016,Bombeiro Militar,4
2016,Guarda civil municipal,6
2016,Polícia Civil e perícia,24
2016,Polícia Federal e PRF,9
2016,Polícia Militar,56
2016,Polícia penal/penitenciária,7
2017,Bombeiro Militar,6
2017,Guarda civil municipal,12
2017,Polícia Civil e perícia,16
2017,Polícia Federal e PRF,4
2017,Polícia Militar,74
2017,Polícia penal/penitenciária,11
2018,Bombeiro Militar,12
2018,Guarda civil municipal,11
2018,Polícia Civil e perícia,17
2018,Polícia Federal e PRF,6
2018,Polícia Militar,87
2018,Polícia penal/penitenciária,13
2019,Bombeiro Militar,9
2019,Guarda civil municipal,12
2019,Polícia Civil e perícia,15
2019,Polícia Federal e PRF,4
2019,Polícia Militar,75
2019,Polícia penal/penitenciária,17

