cbo_reconstruido,ocupacao_reconstruida,obitos,recuperados
021210,SOLDADO DA POLICIA MILITAR,408,408
351810,INVESTIGADOR DE POLICIA,87,87
517210,POLICIAL RODOVIARIO FEDERAL,44,44
021110,SARGENTO DA POLICIA MILITAR,39,39
031210,SOLDADO BOMBEIRO MILITAR,25,25
351420,ESCRIVAO DE POLICIA,21,21
031110,SARGENTO BOMBEIRO MILITAR,10,10
020110,TENENTE-CORONEL DA POLICIA MILITAR,3,3
020310,SEGUNDO TENENTE DE POLICIA MILITAR,1,1
021205,CABO DA POLICIA MILITAR,143,0
517315,AGENTE DE SEGURANCA PENITENCIARIA,88,0
517215,GUARDA-CIVIL MUNICIPAL,80,0
242305,DELEGADO DE POLICIA,25,0
517205,AGENTE DE POLICIA FEDERAL,24,0
031205,CABO BOMBEIRO MILITAR,21,0
351815,PAPILOSCOPISTA POLICIAL,11,0
021105,SUBTENENTE DA POLICIA MILITAR,8,0
204105,PERITO CRIMINAL,8,0
020205,CAPITAO DA POLICIA MILITAR,6,0
020115,MAJOR DA POLICIA MILITAR,5,0
020305,PRIMEIRO TENENTE DE POLICIA MILITAR,5,0
030105,CORONEL BOMBEIRO MILITAR,5,0
020105,CORONEL DA POLICIA MILITAR,1,0
030205,CAPITAO BOMBEIRO MILITAR,1,0
031105,SUBTENENTE BOMBEIRO MILITAR,1,0

