carreira,metodo,obitos,percentual_na_carreira
Bombeiro Militar,Arma de fogo,21,33.333333333333336
Bombeiro Militar,Autointoxicação,3,4.761904761904762
Bombeiro Militar,Enforcamento,32,50.79365079365079
Bombeiro Militar,Outros meios,6,9.523809523809524
Bombeiro Militar,Precipitação,1,1.5873015873015872
Guarda civil municipal,Arma de fogo,41,51.25
Guarda civil municipal,Autointoxicação,3,3.75
Guarda civil municipal,Enforcamento,31,38.75
Guarda civil municipal,Outros meios,3,3.75
Guarda civil municipal,Precipitação,2,2.5
Polícia Civil e perícia,Arma de fogo,98,64.47368421052632
Polícia Civil e perícia,Autointoxicação,1,0.6578947368421053
Polícia Civil e perícia,Enforcamento,33,21.710526315789473
Polícia Civil e perícia,Outros meios,16,10.526315789473685
Polícia Civil e perícia,Precipitação,4,2.6315789473684212
Polícia Federal e PRF,Arma de fogo,50,73.52941176470588
Polícia Federal e PRF,Autointoxicação,3,4.411764705882353
Polícia Federal e PRF,Enforcamento,10,14.705882352941176
Polícia Federal e PRF,Outros meios,4,5.882352941176471
Polícia Federal e PRF,Precipitação,1,1.4705882352941178
Polícia Militar,Arma de fogo,404,65.26655896607431
Polícia Militar,Autointoxicação,18,2.9079159935379644
Polícia Militar,Enforcamento,152,24.55573505654281
Polícia Militar,Outros meios,37,5.977382875605816
Polícia Militar,Precipitação,8,1.2924071082390953
Polícia penal/penitenciária,Arma de fogo,49,55.68181818181818
Polícia penal/penitenciária,Autointoxicação,1,1.1363636363636365
Polícia penal/penitenciária,Enforcamento,34,38.63636363636363
Polícia penal/penitenciária,Outros meios,3,3.409090909090909
Polícia penal/penitenciária,Precipitação,1,1.1363636363636365

