variavel,categoria,obitos,percentual
SEXO,Masculino,1006,94.01869158878505
SEXO,Feminino,64,5.981308411214953
RACACOR,Branca,626,58.504672897196265
RACACOR,Parda,369,34.48598130841121
RACACOR,Preta,47,4.392523364485982
RACACOR,Ignorado,23,2.149532710280374
RACACOR,Amarela,3,0.2803738317757009
RACACOR,Indígena,2,0.18691588785046728
ESTCIV,Casado,508,47.47663551401869
ESTCIV,Solteiro,328,30.654205607476637
ESTCIV,Separado judicialmente,107,10.0
ESTCIV,União consensual,58,5.420560747663552
ESTCIV,Ignorado,41,3.8317757009345796
ESTCIV,Viúvo,28,2.616822429906542
ESC,8 a 11 anos,471,44.018691588785046
ESC,12 e mais,347,32.429906542056074
ESC,Ignorado,161,15.046728971962617
ESC,4 a 7 anos,70,6.542056074766355
ESC,1 a 3 anos,20,1.8691588785046729
ESC,Nenhuma,1,0.09345794392523364
idade_faixa,40–49,281,26.261682242990656
idade_faixa,30–39,270,25.233644859813083
idade_faixa,18–29,155,14.485981308411215
idade_faixa,50–59,142,13.271028037383177
idade_faixa,Ignorado,114,10.654205607476635
idade_faixa,60–69,59,5.514018691588785
idade_faixa,70+,49,4.579439252336448
regiao,Sudeste,462,43.177570093457945
regiao,Sul,215,20.093457943925234
regiao,Nordeste,185,17.289719626168225
regiao,Centro-Oeste,152,14.205607476635514
regiao,Norte,56,5.233644859813084
LOCOCOR,Domicílio,574,53.64485981308411
LOCOCOR,Outros,194,18.130841121495326
LOCOCOR,Hospital,178,16.635514018691588
LOCOCOR,Via pública,107,10.0
LOCOCOR,Outro estabelecimento de saúde,14,1.308411214953271
LOCOCOR,Ignorado,3,0.2803738317757009

