ano,obitos,recuperados,armas_fogo,percentual_recuperado,percentual_arma_fogo
2010,78,47,47,60.256410256410255,60.256410256410255
2011,89,59,54,66.29213483146067,60.674157303370784
2012,101,52,69,51.48514851485149,68.31683168316832
2013,102,59,59,57.84313725490196,57.84313725490196
2014,96,57,60,59.375,62.5
2015,97,60,56,61.855670103092784,57.7319587628866
2016,106,69,67,65.09433962264151,63.20754716981132
2017,123,76,71,61.78861788617886,57.72357723577236
2018,146,90,94,61.64383561643836,64.38356164383562
2019,132,69,86,52.27272727272727,65.15151515151516

